STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,SECTOR,Institutional sector,COUNTERPART_SECTOR,Counterpart institutional sector,TRANSACTION,Transaction,INSTR_ASSET,Financial instruments and non-financial assets,ACTIVITY,Economic activity,EXPENDITURE,Expenditure,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,TRANSFORMATION,Transformation,TABLE_IDENTIFIER,Table identifier,TIME_PERIOD,Time period,OBS_VALUE,Observation value,REF_YEAR_PRICE,Price reference year,CONF_STATUS,Confidentiality status,DECIMALS,Decimals,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,CURRENCY,Currency
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,FRA,France,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2023,,0.92484,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,DEU,Germany,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2021,,0.845494,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,DEU,Germany,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2022,,0.949624,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,DEU,Germany,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2023,,0.92484,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,GRC,Greece,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2021,,0.845494,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,GRC,Greece,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2022,,0.949624,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,GRC,Greece,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2023,,0.92484,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,IRL,Ireland,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2021,,0.845494,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,IRL,Ireland,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2022,,0.949624,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,IRL,Ireland,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2023,,0.92484,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,ITA,Italy,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2021,,0.845494,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,ITA,Italy,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2022,,0.949624,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,ITA,Italy,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2023,,0.92484,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,LUX,Luxembourg,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2021,,0.845494,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,LUX,Luxembourg,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2022,,0.949624,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,LUX,Luxembourg,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2023,,0.92484,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,NLD,Netherlands,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2021,,0.845494,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,NLD,Netherlands,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2022,,0.949624,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,NLD,Netherlands,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2023,,0.92484,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,PRT,Portugal,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2021,,0.845494,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,PRT,Portugal,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2022,,0.949624,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,PRT,Portugal,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2023,,0.92484,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,ESP,Spain,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2021,,0.845494,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,ESP,Spain,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2022,,0.949624,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,ESP,Spain,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2023,,0.92484,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,MLT,Malta,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2021,,0.845494,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,MLT,Malta,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2022,,0.949624,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,MLT,Malta,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2023,,0.92484,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,EST,Estonia,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2021,,0.845494,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,LVA,Latvia,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2021,,0.845494,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,LTU,Lithuania,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2021,,0.845494,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,SVK,Slovak Republic,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2021,,0.845494,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,SVN,Slovenia,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2021,,0.845494,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,EST,Estonia,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2022,,0.949624,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,LVA,Latvia,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2022,,0.949624,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,LTU,Lithuania,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2022,,0.949624,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,SVK,Slovak Republic,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2022,,0.949624,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,SVN,Slovenia,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2022,,0.949624,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,EST,Estonia,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2023,,0.92484,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,LVA,Latvia,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2023,,0.92484,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,LTU,Lithuania,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2023,,0.92484,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,SVK,Slovak Republic,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2023,,0.92484,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,SVN,Slovenia,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2023,,0.92484,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
